series,scheme,profile,evidence_class,entities,cost_ms,formula,formula_status
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,10,41.980000000000004,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,20,83.96000000000001,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,30,125.94000000000001,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,40,167.92000000000002,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,50,209.90000000000003,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,60,251.88000000000002,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,70,293.86,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,80,335.84000000000003,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,90,377.82000000000005,entities * per_entity_Sum_ms,reconstructed
paper:Feng et al. [23],Feng et al. [23],paper_reference,paper_reported_reference,100,419.80000000000007,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,10,51.03,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,20,102.06,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,30,153.09,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,40,204.12,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,50,255.14999999999998,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,60,306.18,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,70,357.21,entities * per_entity_Sum_ms,reconstructed
paper:Dabra et al. [34],Dabra et al. [34],paper_reference,paper_reported_reference,80,408.24,entities * per_entity_Sum_ms,reconstructed
